@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
206,3124,14,74276,18007,0.804872,0.995539,0.040362,0.995539,0.959638,0.077578,0.811142,1.227329,0
207,3124,14,74271,18012,0.804818,0.995539,0.040364,0.995539,0.959636,0.077583,0.81109,1.227409,0
208,3124,14,74270,18013,0.804807,0.995539,0.040365,0.995539,0.959635,0.077584,0.811079,1.227424,0
209,3124,14,74269,18014,0.804796,0.995539,0.040365,0.995539,0.959635,0.077585,0.811069,1.22744,0
210,3124,14,74267,18016,0.804774,0.995539,0.040366,0.995539,0.959634,0.077587,0.811048,1.227472,0
211,3124,14,74266,18017,0.804764,0.995539,0.040367,0.995539,0.959633,0.077588,0.811037,1.227488,0
212,3124,14,74264,18019,0.804742,0.995539,0.040368,0.995539,0.959632,0.07759,0.811016,1.22752,0
213,3124,14,74263,18020,0.804731,0.995539,0.040369,0.995539,0.959631,0.077591,0.811006,1.227535,0
214,3124,14,74262,18021,0.80472,0.995539,0.040369,0.995539,0.959631,0.077592,0.810995,1.227551,0
215,3124,14,74261,18022,0.804709,0.995539,0.04037,0.995539,0.95963,0.077593,0.810985,1.227567,0
216,3124,14,74259,18024,0.804688,0.995539,0.040371,0.995539,0.959629,0.077595,0.810964,1.227599,0
217,3124,14,74258,18025,0.804677,0.995539,0.040371,0.995539,0.959629,0.077596,0.810954,1.227615,0
218,3124,14,74249,18034,0.804579,0.995539,0.040376,0.995539,0.959624,0.077604,0.810859,1.227758,0
219,3124,14,74248,18035,0.804569,0.995539,0.040376,0.995539,0.959624,0.077605,0.810849,1.227773,0
220,3124,14,74247,18036,0.804558,0.995539,0.040377,0.995539,0.959623,0.077606,0.810838,1.227789,0
221,3124,14,74241,18042,0.804493,0.995539,0.04038,0.995539,0.95962,0.077612,0.810775,1.227885,0
222,3124,14,74240,18043,0.804482,0.995539,0.040381,0.995539,0.959619,0.077613,0.810765,1.2279,0
223,3124,14,74239,18044,0.804471,0.995539,0.040381,0.995539,0.959619,0.077614,0.810754,1.227916,0
224,3124,14,74238,18045,0.80446,0.995539,0.040382,0.995539,0.959618,0.077615,0.810744,1.227932,0
225,3124,14,74232,18051,0.804395,0.995539,0.040385,0.995539,0.959615,0.077621,0.810681,1.228027,0
226,3124,14,74231,18052,0.804384,0.995539,0.040385,0.995539,0.959615,0.077622,0.810671,1.228043,0
227,3124,14,74216,18067,0.804222,0.995539,0.040393,0.995539,0.959607,0.077636,0.810513,1.228281,0
228,3124,14,74215,18068,0.804211,0.995539,0.040394,0.995539,0.959606,0.077637,0.810503,1.228297,0
229,3124,14,74214,18069,0.8042,0.995539,0.040394,0.995539,0.959606,0.077638,0.810492,1.228313,0
230,3124,14,74212,18071,0.804178,0.995539,0.040395,0.995539,0.959605,0.07764,0.810471,1.228345,0
231,3124,14,74209,18074,0.804146,0.995539,0.040397,0.995539,0.959603,0.077643,0.81044,1.228393,0
232,3124,14,74208,18075,0.804135,0.995539,0.040397,0.995539,0.959603,0.077644,0.81043,1.228408,0
233,3124,14,74206,18077,0.804113,0.995539,0.040398,0.995539,0.959602,0.077646,0.810409,1.22844,0
234,3124,14,74205,18078,0.804103,0.995539,0.040399,0.995539,0.959601,0.077647,0.810398,1.228456,0
